"level","start_date","end_date","lower_age_limit","geography","geography_code","proportion_pos","proportion_pos_high_95","proportion_pos_low_95","population"
"age_school","2020-09-20","2020-09-20",35,"England","E92000001",0.0018,0.0024,0.0013,10853151
"age_school","2020-09-20","2020-09-20",50,"England","E92000001",0.0016,0.0021,0.0012,13618246
"age_school","2020-09-20","2020-09-20",70,"England","E92000001",0.0015,0.0021,0.001,7679719
"age_school","2020-09-21","2020-09-21",2,"England","E92000001",0.0016,0.0025,0.001,6254603
"age_school","2020-09-21","2020-09-21",11,"England","E92000001",0.0029,0.0042,0.0019,3370248
"age_school","2020-09-21","2020-09-21",16,"England","E92000001",0.0048,0.0067,0.0035,5950637
"age_school","2020-09-21","2020-09-21",25,"England","E92000001",0.0024,0.0034,0.0017,7596145
"age_school","2020-09-21","2020-09-21",35,"England","E92000001",0.0019,0.0026,0.0014,10853151
"age_school","2020-09-21","2020-09-21",50,"England","E92000001",0.0017,0.0022,0.0013,13618246
"age_school","2020-09-21","2020-09-21",70,"England","E92000001",0.0016,0.0022,0.0011,7679719
"age_school","2020-09-22","2020-09-22",2,"England","E92000001",0.0016,0.0025,0.001,6254603
"age_school","2020-09-22","2020-09-22",11,"England","E92000001",0.0031,0.0044,0.002,3370248
"age_school","2020-09-22","2020-09-22",16,"England","E92000001",0.0054,0.0074,0.004,5950637
"age_school","2020-09-22","2020-09-22",25,"England","E92000001",0.0025,0.0035,0.0018,7596145
"age_school","2020-09-22","2020-09-22",35,"England","E92000001",0.002,0.0027,0.0015,10853151
"age_school","2020-09-22","2020-09-22",50,"England","E92000001",0.0018,0.0023,0.0014,13618246
"age_school","2020-09-22","2020-09-22",70,"England","E92000001",0.0017,0.0023,0.0012,7679719
"age_school","2020-09-23","2020-09-23",2,"England","E92000001",0.0017,0.0025,0.0011,6254603
"age_school","2020-09-23","2020-09-23",11,"England","E92000001",0.0032,0.0047,0.0021,3370248
"age_school","2020-09-23","2020-09-23",16,"England","E92000001",0.0061,0.0081,0.0046,5950637
"age_school","2020-09-23","2020-09-23",25,"England","E92000001",0.0026,0.0036,0.0019,7596145
